seg_id,st_name,st_type,class,responsibl,full_street_name,full_street_name_clean,total_crashes,crashes_2020,crashes_2021,crashes_2022,crashes_2023,crashes_2024,ksi_crashes,fatal_crashes,serious_inj,minor_inj,poss_inj,pdo_crashes,ped_crashes,bike_crashes,vru_crashes,speeding,alcohol,dark,peak_crash,offpk_crash,am_peak,pm_peak,midday,evening,night,weekend,weekday,spd_lim_md,lane_ct_md,ksi_rate,fatal_rate,ped_rate,bike_rate,vru_rate,spd_rate,alc_rate,dark_rate,offpk_share,wknd_share,crash_py,ksi_py
100002,BARTRAM,AVE,2,STATE,BARTRAM AVE,BARTRAM AVE,5,1,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,1,1,4,0,1,1,1,1,5,0,40,3,0,0,0,0,0,0,0,20,80,100,1,0
100003,BARTRAM,AVE,2,STATE,BARTRAM AVE,BARTRAM AVE,17,5,6,2,2,2,0,0,0,9,1,4,0,0,0,3,0,6,3,14,0,3,4,2,5,3,14,40,2,0,0,0,0,0,17.647058823529413,0,35.294117647058826,82.35294117647058,17.647058823529413,3.4,0
100004,BARTRAM,AVE,2,STATE,BARTRAM AVE,BARTRAM AVE,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,40,2,0,0,0,0,0,0,0,100,100,0,0.2,0
100006,EASTWICK,PL,5,CITY,EASTWICK PL,EASTWICK PL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100007,HARLEY,PL,5,CITY,HARLEY PL,HARLEY PL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100008,LUTHER,PL,5,CITY,LUTHER PL,LUTHER PL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100009,81ST,ST,4,CITY,81ST ST,81ST ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010,82ND,ST,5,CITY,82ND ST,82ND ST,3,1,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1,2,0,1,0,1,1,2,1,20,2,0,0,0,0,0,0,0,66.66666666666666,66.66666666666666,66.66666666666666,0.6,0
100011,PONTIAC,AVE,5,CITY,PONTIAC AVE,PONTIAC AVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100012,SUFFOLK,AVE,5,CITY,SUFFOLK AVE,SUFFOLK AVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100014,LYONS,AVE,5,CITY,LYONS AVE,LYONS AVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100015,BRUNSWICK,AVE,5,CITY,BRUNSWICK AVE,BRUNSWICK AVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100016,CHELWYNDE,AVE,5,CITY,CHELWYNDE AVE,CHELWYNDE AVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100020,LINDBERGH,BLVD,5,FAM,LINDBERGH BLVD,LINDBERGH BLVD,11,0,4,2,3,2,1,0,1,7,1,1,0,0,0,0,1,6,2,9,0,2,2,1,4,2,9,40,3,9.090909090909092,0,0,0,0,0,9.090909090909092,54.54545454545454,81.81818181818183,18.181818181818183,2.2,0.2
100021,LINDBERGH,BLVD,5,CITY,LINDBERGH BLVD,LINDBERGH BLVD,2,0,0,0,2,0,1,0,1,1,0,0,2,0,2,0,0,1,0,2,0,0,0,0,0,1,1,20,0,50,0,100,0,100,0,0,50,100,50,0.4,0.2
100023,85TH,ST,5,CITY,85TH ST,85TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100024,85TH,ST,5,CITY,85TH ST,85TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100025,81ST,ST,4,CITY,81ST ST,81ST ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100026,81ST,ST,4,CITY,81ST ST,81ST ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100027,81ST,ST,4,CITY,81ST ST,81ST ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100028,84TH,ST,4,CITY,84TH ST,84TH ST,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,2,20,0,0,0,0,0,0,0,0,50,100,0,0.4,0
100029,82ND,ST,4,CITY,82ND ST,82ND ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100030,SUFFOLK,PL,5,CITY,SUFFOLK PL,SUFFOLK PL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100031,BUIST,AVE,5,CITY,BUIST AVE,BUIST AVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100032,HARLEY,AVE,5,CITY,HARLEY AVE,HARLEY AVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100033,CRANE,ST,4,CITY,CRANE ST,CRANE ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100035,BUIST,AVE,5,CITY,BUIST AVE,BUIST AVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100036,GROVERS,AVE,5,CITY,GROVERS AVE,GROVERS AVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100037,GIBSON,PL,5,CITY,GIBSON PL,GIBSON PL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100038,CRATIN,PL,5,CITY,CRATIN PL,CRATIN PL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100039,LINDBERGH,BLVD,5,CITY,LINDBERGH BLVD,LINDBERGH BLVD,2,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,2,15,0,0,0,0,0,0,0,50,0,100,0,0.4,0
100040,ISLAND,AVE,2,STATE,ISLAND AVE,ISLAND AVE,3,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,3,0,0,0,1,0,1,2,35,0,0,0,0,0,0,0,0,100,100,33.33333333333333,0.6,0
100042,LINDBERGH,BLVD,5,CITY,LINDBERGH BLVD,LINDBERGH BLVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100044,BARTRAM,AVE,2,STATE,BARTRAM AVE,BARTRAM AVE,20,1,5,8,1,5,1,0,1,9,2,3,2,0,2,1,1,6,0,20,0,0,5,1,8,8,12,40,2,5,0,10,0,10,5,5,30,100,40,4,0.2
100045,BARTRAM,AVE,2,STATE,BARTRAM AVE,BARTRAM AVE,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,40,0,0,0,0,0,0,0,0,0,100,0,0.2,0
100046,82ND,ST,4,CITY,82ND ST,82ND ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100047,82ND,ST,4,CITY,82ND ST,82ND ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100048,83RD,ST,5,CITY,83RD ST,83RD ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100049,83RD,ST,5,CITY,83RD ST,83RD ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100050,86TH,ST,5,CITY,86TH ST,86TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100051,86TH,ST,5,CITY,86TH ST,86TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100052,86TH,ST,5,CITY,86TH ST,86TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100053,86TH,ST,5,CITY,86TH ST,86TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100054,86TH,ST,5,CITY,86TH ST,86TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100055,86TH,ST,5,CITY,86TH ST,86TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100056,86TH,ST,5,CITY,86TH ST,86TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100057,86TH,ST,5,CITY,86TH ST,86TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100058,80TH,ST,4,CITY,80TH ST,80TH ST,3,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,2,1,0,2,0,0,1,2,1,20,2,0,0,0,0,0,33.33333333333333,0,33.33333333333333,33.33333333333333,66.66666666666666,0.6,0
100059,81ST,ST,4,CITY,81ST ST,81ST ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100061,82ND,ST,4,CITY,82ND ST,82ND ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100062,82ND,ST,4,CITY,82ND ST,82ND ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100063,82ND,ST,4,CITY,82ND ST,82ND ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100066,84TH,ST,2,STATE,84TH ST,84TH ST,3,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,3,0,0,0,0,2,2,1,40,0,33.33333333333333,33.33333333333333,33.33333333333333,0,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,100,66.66666666666666,0.6,0.2
100067,84TH,ST,2,STATE,84TH ST,84TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100069,80TH,ST,5,CITY,80TH ST,80TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100070,BARTRAM,AVE,2,STATE,BARTRAM AVE,BARTRAM AVE,2,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,1,1,1,30,0,50,50,0,0,0,0,0,50,100,50,0.4,0.2
100071,MARIO LANZA,BLVD,4,CITY,MARIO LANZA BLVD,MARIO LANZA BLVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100075,LYONS,PL,5,CITY,LYONS PL,LYONS PL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100076,LYONS,PL,12,CITY,LYONS PL,LYONS PL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100077,CHELWYNDE,AVE,5,CITY,CHELWYNDE AVE,CHELWYNDE AVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100080,81ST,ST,4,CITY,81ST ST,81ST ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100081,BRUNSWICK,PL,5,CITY,BRUNSWICK PL,BRUNSWICK PL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100082,GIBBS,PL,5,CITY,GIBBS PL,GIBBS PL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100084,CHELWYNDE,AVE,5,CITY,CHELWYNDE AVE,CHELWYNDE AVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100085,MADISON,PL,5,CITY,MADISON PL,MADISON PL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100086,CHENEY,PL,12,CITY,CHENEY PL,CHENEY PL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100087,DICKS,PL,5,CITY,DICKS PL,DICKS PL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100088,GIBSON,PL,12,CITY,GIBSON PL,GIBSON PL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100089,CRATIN,PL,12,CITY,CRATIN PL,CRATIN PL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100090,82ND,ST,4,CITY,82ND ST,82ND ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100091,CRANE,ST,4,CITY,CRANE ST,CRANE ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100098,LINDBERGH,BLVD,2,FAM,LINDBERGH BLVD,LINDBERGH BLVD,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,25,2,0,0,0,0,0,0,0,0,100,0,0.2,0
300008,PINE,ST,4,CITY,PINE ST,PINE ST,66,12,14,19,11,10,2,0,2,22,9,16,8,4,12,9,4,28,7,59,0,7,20,10,16,17,49,20,1.5,3.0303030303030303,0,12.121212121212121,6.0606060606060606,18.181818181818183,13.636363636363635,6.0606060606060606,42.42424242424242,89.39393939393939,25.757575757575758,13.2,0.4
100099,LINDBERGH,BLVD,4,CITY,LINDBERGH BLVD,LINDBERGH BLVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100100,LINDBERGH,BLVD,2,FAM,LINDBERGH BLVD,LINDBERGH BLVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101,LINDBERGH,BLVD,4,CITY,LINDBERGH BLVD,LINDBERGH BLVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100104,84TH,ST,4,CITY,84TH ST,84TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100105,84TH,ST,4,CITY,84TH ST,84TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100106,84TH,ST,4,CITY,84TH ST,84TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100107,84TH,ST,4,CITY,84TH ST,84TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100108,84TH,ST,4,CITY,84TH ST,84TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100109,84TH,ST,4,CITY,84TH ST,84TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100110,84TH,ST,4,CITY,84TH ST,84TH ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100115,INDUSTRIAL,HWY,12,STRICKEN,INDUSTRIAL HWY,INDUSTRIAL HWY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100120,DELAWARE EXPY,RAMP,10,STATE,DELAWARE EXPY RAMP,DELAWARE EXPY RAMP,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,20,2,0,0,0,0,0,100,0,0,100,0,0.2,0
100121,DELAWARE EXPY,RAMP,10,STATE,DELAWARE EXPY RAMP,DELAWARE EXPY RAMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100122,DELAWARE EXPY,RAMP,10,STATE,DELAWARE EXPY RAMP,DELAWARE EXPY RAMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100123,DELAWARE EXPY,RAMP,10,STATE,DELAWARE EXPY RAMP,DELAWARE EXPY RAMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100125,LINDBERGH,BLVD,2,FAM,LINDBERGH BLVD,LINDBERGH BLVD,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,100,100,0,0.2,0
100127,LINDBERGH,BLVD,2,FAM,LINDBERGH BLVD,LINDBERGH BLVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100128,LINDBERGH,BLVD,5,CITY,LINDBERGH BLVD,LINDBERGH BLVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100129,LINDBERGH,BLVD,4,CITY,LINDBERGH BLVD,LINDBERGH BLVD,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,25,2,0,0,0,0,0,0,0,0,100,100,0.2,0
100131,DELAWARE EXPY,RAMP,10,STATE,DELAWARE EXPY RAMP,DELAWARE EXPY RAMP,2,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,0,1,0,2,0,0,1,0,1,0,2,20,0,0,0,0,0,0,100,0,50,100,0,0.4,0
100132,DELAWARE,EXPY,1,STATE,DELAWARE EXPY,DELAWARE EXPY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100133,AIRPORT,RAMP,10,AIRPORT,AIRPORT RAMP,AIRPORT RAMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100135,DELAWARE EXPY,RAMP,10,STATE,DELAWARE EXPY RAMP,DELAWARE EXPY RAMP,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,20,0,0,0,0,0,0,100,0,0,100,100,0.2,0
100137,DELAWARE EXPY,RAMP,10,STATE,DELAWARE EXPY RAMP,DELAWARE EXPY RAMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100139,DELAWARE EXPY,RAMP,10,STATE,DELAWARE EXPY RAMP,DELAWARE EXPY RAMP,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,1,1,0,0,1,1,20,0,0,0,0,0,0,100,0,50,50,50,0.4,0
100140,DELAWARE,EXPY,1,STATE,DELAWARE EXPY,DELAWARE EXPY,17,0,6,5,4,2,1,0,1,3,0,7,0,0,0,6,1,9,5,12,0,5,4,0,5,3,14,55,4.5,5.88235294117647,0,0,0,0,35.294117647058826,5.88235294117647,52.94117647058824,70.58823529411765,17.647058823529413,3.4,0.2
100145,LINDBERGH,BLVD,4,CITY,LINDBERGH BLVD,LINDBERGH BLVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100146,LINDBERGH,BLVD,4,CITY,LINDBERGH BLVD,LINDBERGH BLVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100153,82ND,ST,4,CITY,82ND ST,82ND ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100158,TITAN,PL,5,CITY,TITAN PL,TITAN PL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100159,BUIST,AVE,5,CITY,BUIST AVE,BUIST AVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100160,VERMEER,PL,5,CITY,VERMEER PL,VERMEER PL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100165,LYONS,AVE,5,CITY,LYONS AVE,LYONS AVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100170,LYONS,AVE,5,CITY,LYONS AVE,LYONS AVE,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,20,0,0,0,0,0,0,100,0,0,0,0,0.2,0
100171,81ST,ST,4,CITY,81ST ST,81ST ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100174,CITY BOUNDARY, ,14,TOWNSHIP,CITY BOUNDARY,CITY BOUNDARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100175,CITY BOUNDARY, ,14,TOWNSHIP,CITY BOUNDARY,CITY BOUNDARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100180,CITY BOUNDARY, ,14,TOWNSHIP,CITY BOUNDARY,CITY BOUNDARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100184,TINICUM,BLVD,5,CITY,TINICUM BLVD,TINICUM BLVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
